payment_id,user_id,amount,payment_date,payment_method
1,792,19.99,11/30/2023,Apple Pay
2,443,4.99,3/19/2024,Credit Card
3,931,19.99,1/2/2024,Credit Card
4,858,9.99,4/26/2024,Credit Card
5,287,14.99,11/7/2024,PayPal
6,552,9.99,10/10/2023,Google Pay
7,606,7.99,11/23/2024,PayPal
8,243,9.99,7/25/2023,Credit Card
9,363,4.99,11/8/2023,Google Pay
10,666,14.99,3/4/2025,Apple Pay
11,998,14.99,5/8/2023,PayPal
12,563,9.99,3/18/2025,Google Pay
13,752,19.99,8/26/2023,Credit Card
14,653,4.99,2/7/2025,Credit Card
15,176,9.99,1/17/2024,PayPal
16,795,19.99,2/20/2024,Google Pay
17,680,4.99,4/3/2024,Apple Pay
18,160,7.99,5/21/2023,Credit Card
19,370,14.99,10/17/2023,Apple Pay
20,410,14.99,11/27/2023,PayPal
21,397,4.99,7/22/2024,PayPal
22,251,7.99,11/26/2024,PayPal
23,679,7.99,7/14/2023,Credit Card
24,630,19.99,8/5/2023,Apple Pay
25,728,7.99,3/4/2024,Credit Card
26,165,4.99,12/4/2023,Credit Card
27,180,4.99,7/14/2023,PayPal
28,654,7.99,8/25/2023,Google Pay
29,616,9.99,8/13/2024,PayPal
30,872,14.99,1/12/2024,PayPal
31,908,7.99,11/18/2024,Credit Card
32,923,14.99,6/17/2024,PayPal
33,463,4.99,5/3/2023,Google Pay
34,934,14.99,3/9/2025,Apple Pay
35,837,19.99,10/1/2023,Credit Card
36,4,4.99,9/14/2024,Apple Pay
37,459,7.99,11/29/2024,Apple Pay
38,967,7.99,10/24/2024,Apple Pay
39,176,7.99,7/28/2023,Google Pay
40,432,14.99,8/10/2024,Google Pay
41,694,4.99,4/24/2024,PayPal
42,493,19.99,1/16/2024,Apple Pay
43,916,4.99,5/24/2024,Google Pay
44,964,7.99,7/27/2023,Apple Pay
45,999,7.99,7/25/2023,Google Pay
46,73,9.99,4/6/2024,Apple Pay
47,17,19.99,6/4/2023,PayPal
48,528,19.99,4/10/2024,Google Pay
49,604,14.99,12/1/2023,Google Pay
50,11,14.99,8/10/2024,Apple Pay
51,48,4.99,1/29/2025,Credit Card
52,127,9.99,5/15/2024,PayPal
53,368,7.99,6/13/2024,Credit Card
54,80,7.99,11/28/2023,Apple Pay
55,108,4.99,5/1/2024,Google Pay
56,399,19.99,7/4/2023,Credit Card
57,362,7.99,6/19/2024,Apple Pay
58,797,9.99,1/10/2024,Google Pay
59,116,19.99,4/17/2024,Apple Pay
60,213,7.99,7/4/2024,PayPal
61,798,7.99,3/17/2025,PayPal
62,366,7.99,2/23/2025,Credit Card
63,624,14.99,9/11/2023,Apple Pay
64,979,14.99,3/3/2024,PayPal
65,886,4.99,6/29/2023,Apple Pay
66,825,9.99,1/29/2024,Google Pay
67,300,7.99,11/8/2024,Apple Pay
68,454,4.99,12/19/2023,Google Pay
69,848,14.99,10/21/2023,Google Pay
70,584,9.99,8/23/2023,Google Pay
71,43,7.99,2/5/2025,Google Pay
72,332,7.99,10/3/2023,Credit Card
73,897,9.99,4/12/2025,Apple Pay
74,521,4.99,8/15/2024,Google Pay
75,766,14.99,11/23/2024,PayPal
76,206,19.99,7/27/2024,Credit Card
77,894,19.99,4/27/2024,PayPal
78,95,7.99,4/24/2024,Google Pay
79,580,7.99,8/21/2024,Google Pay
80,208,9.99,5/10/2023,PayPal
81,751,4.99,8/10/2023,Credit Card
82,228,9.99,3/25/2025,Apple Pay
83,614,7.99,11/2/2024,Google Pay
84,146,9.99,8/2/2024,Google Pay
85,884,14.99,12/6/2024,Credit Card
86,367,7.99,2/15/2024,PayPal
87,430,7.99,8/2/2023,PayPal
88,294,19.99,1/4/2025,Apple Pay
89,861,14.99,1/29/2025,Google Pay
90,972,4.99,11/28/2023,Google Pay
91,298,7.99,2/12/2024,Apple Pay
92,967,4.99,1/8/2025,Apple Pay
93,202,14.99,3/21/2024,Google Pay
94,839,4.99,10/10/2024,PayPal
95,332,4.99,11/23/2023,PayPal
96,119,14.99,12/2/2024,Apple Pay
97,937,4.99,1/18/2024,Apple Pay
98,866,4.99,7/16/2024,Credit Card
99,676,19.99,8/17/2023,PayPal
100,106,9.99,3/10/2025,PayPal
101,43,7.99,6/9/2023,Credit Card
102,632,4.99,7/20/2023,PayPal
103,353,7.99,6/21/2024,Google Pay
104,504,4.99,11/21/2023,PayPal
105,882,19.99,1/15/2024,Credit Card
106,362,4.99,10/28/2024,Apple Pay
107,377,9.99,2/20/2024,Google Pay
108,818,4.99,8/8/2024,PayPal
109,882,9.99,1/30/2024,Google Pay
110,429,19.99,4/29/2024,Google Pay
111,64,14.99,7/11/2024,Google Pay
112,378,4.99,6/26/2023,Apple Pay
113,875,9.99,2/10/2024,PayPal
114,91,7.99,1/26/2024,Apple Pay
115,138,19.99,1/3/2025,Apple Pay
116,733,19.99,3/5/2025,Apple Pay
117,483,14.99,4/28/2024,Apple Pay
118,426,19.99,4/2/2024,Apple Pay
119,793,9.99,2/15/2024,Apple Pay
120,673,7.99,3/22/2025,Google Pay
121,638,19.99,3/31/2024,Credit Card
122,612,19.99,3/31/2024,Apple Pay
123,117,4.99,10/15/2024,Google Pay
124,390,19.99,3/17/2025,Credit Card
125,890,7.99,11/5/2024,Google Pay
126,17,14.99,8/24/2024,Apple Pay
127,69,4.99,1/28/2025,Apple Pay
128,54,14.99,6/13/2023,Google Pay
129,565,7.99,12/9/2023,PayPal
130,562,19.99,7/7/2024,PayPal
131,532,4.99,2/21/2024,Apple Pay
132,651,7.99,8/6/2024,Google Pay
133,47,7.99,12/16/2023,Google Pay
134,222,7.99,1/1/2024,Google Pay
135,586,7.99,3/13/2025,PayPal
136,228,7.99,6/1/2024,PayPal
137,109,14.99,3/17/2025,Apple Pay
138,73,4.99,4/16/2024,Apple Pay
139,863,7.99,11/10/2024,Credit Card
140,802,9.99,7/6/2023,PayPal
141,375,7.99,7/2/2024,Apple Pay
142,138,14.99,1/6/2024,Credit Card
143,276,4.99,8/19/2023,Google Pay
144,444,14.99,4/30/2024,Apple Pay
145,657,19.99,3/27/2025,Credit Card
146,868,14.99,11/21/2023,Google Pay
147,456,4.99,5/10/2024,Credit Card
148,866,14.99,12/17/2023,Apple Pay
149,581,19.99,3/26/2025,Apple Pay
150,524,4.99,4/7/2024,Google Pay
151,428,19.99,9/15/2024,PayPal
152,403,7.99,9/2/2024,PayPal
153,95,9.99,10/5/2024,PayPal
154,442,19.99,5/12/2023,PayPal
155,527,14.99,10/28/2023,PayPal
156,197,7.99,10/22/2023,Google Pay
157,476,19.99,10/26/2023,Credit Card
158,233,9.99,5/8/2024,Credit Card
159,833,9.99,6/25/2024,Google Pay
160,803,4.99,7/10/2024,Apple Pay
161,518,9.99,5/14/2024,PayPal
162,324,9.99,3/5/2024,Apple Pay
163,528,7.99,3/20/2025,Apple Pay
164,286,19.99,10/13/2023,Apple Pay
165,292,4.99,6/27/2024,Credit Card
166,981,14.99,12/29/2024,Apple Pay
167,314,14.99,10/28/2023,PayPal
168,645,19.99,12/10/2024,Credit Card
169,29,14.99,2/1/2025,PayPal
170,789,14.99,4/4/2024,PayPal
171,871,4.99,9/5/2024,Credit Card
172,593,4.99,1/3/2024,Google Pay
173,258,4.99,9/29/2024,Credit Card
174,737,7.99,8/1/2024,PayPal
175,106,19.99,8/13/2023,Credit Card
176,513,4.99,4/12/2024,Google Pay
177,251,9.99,2/27/2025,Apple Pay
178,826,9.99,8/31/2024,Credit Card
179,486,9.99,8/26/2024,Credit Card
180,443,4.99,12/16/2023,PayPal
181,941,19.99,6/11/2024,PayPal
182,402,4.99,2/15/2025,PayPal
183,200,19.99,8/22/2023,Apple Pay
184,808,19.99,1/14/2025,PayPal
185,689,7.99,5/24/2023,Apple Pay
186,721,4.99,6/3/2024,Credit Card
187,937,14.99,8/1/2023,PayPal
188,34,14.99,9/7/2023,Google Pay
189,45,4.99,2/27/2024,Apple Pay
