subscription_id,user_id,subscription_type,start_date
1,1,Premium,1/18/2025
2,2,Free,3/10/2024
3,3,Student,9/17/2024
4,4,Free,11/20/2024
5,5,Family,6/19/2024
6,6,Premium,1/29/2025
7,7,Student,9/11/2024
8,8,Family,10/17/2023
9,9,Premium,11/23/2023
10,10,Family,10/30/2023
11,11,Student,8/21/2024
12,12,Free,2/12/2024
13,13,Free,4/16/2024
14,14,Premium,6/19/2024
15,15,Family,4/26/2023
16,16,Family,8/25/2024
17,17,Free,6/9/2024
18,18,Student,6/22/2023
19,19,Family,9/21/2024
20,20,Free,7/31/2024
21,21,Student,7/19/2024
22,22,Free,10/18/2024
23,23,Premium,10/23/2023
24,24,Student,8/30/2024
25,25,Free,5/19/2024
26,26,Family,9/6/2024
27,27,Premium,12/22/2023
28,28,Free,7/30/2023
29,29,Premium,9/9/2024
30,30,Free,6/25/2023
31,31,Student,4/15/2024
32,32,Premium,5/3/2023
33,33,Student,3/19/2024
34,34,Free,9/2/2024
35,35,Family,11/23/2024
36,36,Free,2/21/2024
37,37,Family,1/12/2025
38,38,Free,11/29/2023
39,39,Family,8/11/2023
40,40,Student,7/24/2023
41,41,Premium,12/7/2024
42,42,Premium,8/11/2024
43,43,Family,3/3/2024
44,44,Premium,7/19/2023
45,45,Student,10/20/2023
46,46,Family,8/13/2023
47,47,Family,11/1/2023
48,48,Premium,7/20/2023
49,49,Free,5/3/2023
50,50,Student,3/11/2024
51,51,Family,5/1/2024
52,52,Family,1/15/2025
53,53,Family,10/10/2023
54,54,Student,11/28/2024
55,55,Student,2/7/2025
56,56,Family,3/27/2024
57,57,Family,10/27/2024
58,58,Student,10/1/2023
59,59,Premium,10/1/2024
60,60,Family,2/19/2025
61,61,Premium,12/4/2024
62,62,Student,2/23/2024
63,63,Student,9/3/2023
64,64,Student,2/25/2025
65,65,Student,5/4/2024
66,66,Premium,7/12/2024
67,67,Student,2/6/2024
68,68,Free,2/28/2025
69,69,Student,1/26/2024
70,70,Free,8/16/2024
71,71,Family,1/10/2024
72,72,Premium,2/19/2025
73,73,Family,9/3/2023
74,74,Free,5/22/2023
75,75,Student,1/23/2025
76,76,Free,8/21/2024
77,77,Free,2/4/2025
78,78,Student,9/26/2023
79,79,Family,3/9/2025
80,80,Family,7/6/2023
81,81,Premium,6/4/2023
82,82,Premium,1/17/2024
83,83,Family,5/30/2023
84,84,Premium,8/21/2023
85,85,Student,5/25/2024
86,86,Premium,6/12/2024
87,87,Student,11/27/2024
88,88,Family,2/29/2024
89,89,Family,9/13/2023
90,90,Premium,6/16/2024
91,91,Premium,6/9/2023
92,92,Student,4/2/2024
93,93,Free,3/23/2024
94,94,Free,1/1/2025
95,95,Student,3/5/2025
96,96,Premium,10/22/2024
97,97,Student,7/24/2024
98,98,Free,6/15/2024
99,99,Family,8/25/2023
100,100,Family,8/5/2023
101,101,Premium,1/2/2024
102,102,Student,1/16/2024
103,103,Student,6/20/2023
104,104,Premium,10/23/2023
105,105,Family,7/17/2023
