track_id,track_name,artist_id,duration_seconds
1,Act sound any,36,331
2,Network sport,52,400
3,Later enter,100,275
4,Various kitchen not,6,187
5,Through,44,370
6,Parent write,20,283
7,Hotel,65,267
8,Hair compare,13,364
9,Matter early size,18,295
10,Little charge,26,231
11,I month,75,285
12,Trouble officer despite,10,305
13,Smile ok base,93,245
14,Until once something,96,366
15,More whole,32,214
16,Official wall spring,75,148
17,Fire,54,351
18,Subject,19,279
19,Need management whose low,67,342
20,Sing public discuss,47,412
21,Charge hair more,45,318
22,West pressure,48,412
23,Couple national,69,308
24,Deep list lawyer music,89,216
25,Whatever head,54,261
26,Concern write former,77,159
27,Physical charge,4,204
28,Production feeling time,58,419
29,Note break pressure,28,219
30,Source war career,53,271
31,Read green try,41,186
32,Right stand,1,411
33,Fight design,2,395
34,Knowledge throw center,77,154
35,Perform collection,64,379
36,Represent push,95,121
37,Peace wife more,67,161
38,Expert month pressure,72,185
39,Life toward,17,373
40,Day,75,180
41,Late me,46,215
42,Cultural explain animal,40,147
43,Since city which research,51,289
44,Order special region,80,323
45,Keep in,28,121
46,After goal mouth,49,143
47,East home team,77,229
48,Sometimes eat partner,2,268
49,Town pretty nature,32,315
50,Practice boy,43,284
51,Year likely,32,240
52,Administration bank,68,375
53,Try here bring,27,257
54,Strategy exist prepare town,8,265
55,Service good,64,416
56,Tree deal,83,314
57,Three claim,95,301
58,Left remember,45,176
59,Base leave carry,91,365
60,Billion wonder,26,386
61,Across sea,56,295
62,Anyone high,91,377
63,Home,21,286
64,Process strong laugh,33,403
65,True education night,70,267
66,Same,95,301
67,Record beautiful him,64,419
68,Crime painting,75,415
69,One because baby,86,189
70,Exactly attack,27,200
71,Series let price,85,380
72,Finally rate it,90,227
73,Treatment beyond fight,62,146
74,American police,30,219
75,Smile choose,22,265
76,Brother thing,1,295
77,Collection figure also,46,281
78,Type,41,170
79,Plan,35,145
80,Discuss degree skin,14,154
81,Such learn,17,146
82,Property accept,1,305
83,Wall which,96,330
84,Your dark,24,125
85,Suddenly Mr,100,335
86,Others nor seek,27,219
87,Though plant,9,326
88,Head week,47,378
89,Night,60,198
90,Whole answer blue,18,322
91,Apply ten,18,238
92,Truth ground,100,226
93,Official,17,125
94,Son hotel close,84,418
95,Whose plant but,100,258
96,Reach teach,21,393
97,East,3,382
98,Always popular,89,311
99,Bad three almost,43,351
100,Detail major,74,224
101,All look little,24,335
102,Now capital,95,152
103,Run goal,94,233
104,Wish idea left,85,371
105,Away arrive little,75,372
106,Daughter available,41,408
107,Opportunity specific,4,378
108,Baby,100,181
109,Safe wide rule,82,184
110,Share real lead,78,290
111,Adult however free,42,353
112,Whole art,44,216
113,Information fall yard,46,142
114,Notice order,70,300
115,Ahead want car sit,67,313
116,Economy since computer,71,222
117,Include,95,405
118,Couple rise all,38,391
119,Parent issue interest,3,155
120,Ten store,34,321
121,Rock official increase,10,255
122,Work believe address,62,257
123,History investment,98,207
124,Democratic share,13,235
125,Keep maintain market,2,148
126,Today popular,5,379
127,Team letter opportunity,7,162
128,Factor action,32,352
